supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
K,cost_led_development,CCR,H,0.000032326329564981915,price,plus,0.05
K,cost_led_development,CCR,I,0.018100966847715536,price,plus,0.05
K,delivery_reliability_led,CCR,A,0.03366996102247506,price,plus,0.05
K,delivery_reliability_led,CCR,B,0.16779380809115899,price,plus,0.05
K,delivery_reliability_led,CCR,H,0.13219676271264097,price,plus,0.05
K,delivery_reliability_led,CCR,I,0.18512054335194927,price,plus,0.05
K,product_quality_led,CCR,A,0.13106104711250294,price,plus,0.05
K,product_quality_led,CCR,B,0.33389828013272893,price,plus,0.05
K,product_quality_led,CCR,H,0.10436109160699679,price,plus,0.05
K,product_quality_led,CCR,I,0.10094507591602352,price,plus,0.05
J,balanced_improvement,CCR,A,0.03234736217735577,price,plus,0.05
J,balanced_improvement,CCR,B,0.6173332394581205,price,plus,0.05
J,balanced_improvement,CCR,H,0.022801614572325504,price,plus,0.05
J,balanced_improvement,CCR,I,0.09657471722851568,price,plus,0.05
J,cost_led_development,CCR,A,0.22264396717441148,price,plus,0.05
J,cost_led_development,CCR,B,0.5106762645801775,price,plus,0.05
J,delivery_reliability_led,CCR,A,0.05547866201178787,price,plus,0.05
J,delivery_reliability_led,CCR,B,0.3038452734952781,price,plus,0.05
J,delivery_reliability_led,CCR,H,0.12644978133468782,price,plus,0.05
J,delivery_reliability_led,CCR,I,0.16579205594017288,price,plus,0.05
J,product_quality_led,CCR,A,0.05631860536231139,price,plus,0.05
J,product_quality_led,CCR,B,0.7582652248338733,price,plus,0.05
J,product_quality_led,CCR,H,0.0652217931477893,price,plus,0.05
F,balanced_improvement,CCR,A,0.13116004115933874,price,plus,0.05
F,balanced_improvement,CCR,B,0.37080141525248134,price,plus,0.05
F,balanced_improvement,CCR,H,0.26551207372746877,price,plus,0.05
F,balanced_improvement,CCR,I,0.0167071038478973,price,plus,0.05
F,cost_led_development,CCR,A,0.12792562086437034,price,plus,0.05
F,cost_led_development,CCR,B,0.5604756306602464,price,plus,0.05
F,cost_led_development,CCR,H,0.04955663785458016,price,plus,0.05
F,cost_led_development,CCR,I,0.24231804227932915,price,plus,0.05
F,delivery_reliability_led,CCR,A,0.07429003245754097,price,plus,0.05
F,delivery_reliability_led,CCR,B,0.1407241690796576,price,plus,0.05
F,delivery_reliability_led,CCR,H,0.42026669894259366,price,plus,0.05
F,delivery_reliability_led,CCR,I,0.02617505948532527,price,plus,0.05
F,product_quality_led,CCR,A,0.06049289635808118,price,plus,0.05
F,product_quality_led,CCR,B,0.43859925500721547,price,plus,0.05
F,product_quality_led,CCR,H,0.4445797238568199,price,plus,0.05
L,balanced_improvement,CCR,A,0.12481340951965339,price,plus,0.05
L,balanced_improvement,CCR,B,0.7505740303814307,price,plus,0.05
L,balanced_improvement,CCR,H,0.018256400779986057,price,plus,0.05
L,balanced_improvement,CCR,I,0.12482486104909572,price,plus,0.05
L,cost_led_development,CCR,A,0.4742664955474407,price,plus,0.05
L,cost_led_development,CCR,B,0.4820877714677142,price,plus,0.05
L,delivery_reliability_led,CCR,A,0.11901006153332255,price,plus,0.05
L,delivery_reliability_led,CCR,B,0.3641429373789091,price,plus,0.05
